name,poi
BELDEN TIMOTHY N,0.18303715798147455
BOWEN JR RAYMOND M,0.3195214450989383
HANNON KEVIN P,0.24270540230531293
DELAINEY DAVID W,0.10043114531837771
CAUSEY RICHARD A,0.28530912366304895
HICKERSON GARY J,0.3138075932266512
FREVERT MARK A,0.6763448724892052
CHAN RONNIE,0.004179909094077142
DONAHUE JR JEFFREY M,0.10108898254090912
REYNOLDS LAWRENCE,0.06346420423436742
HORTON STANLEY C,0.05393664101906264
LEWIS RICHARD,0.005121366898755712
SHERRICK JEFFREY B,0.020981727044619404
MEYER JEROME J,0.006922169577546076
DERRICK JR. JAMES V,0.2941973055466122
PIRO JIM,0.005021576434298702
DETMERING TIMOTHY J,0.05264143645266934
KISHKILL JOSEPH G,0.17019892536530137
BAY FRANKLIN R,0.0903295835339114
PRENTICE JAMES,0.008012882829536109
TOTAL,0.7741747197343196
FALLON JAMES B,0.29461539697560707
METTS MARK,0.07051447571868896
WODRASKA JOHN,0.02154030209660634
MORDAUNT KRISTINA M,0.04739225788666475
CARTER REBECCA C,0.03592387318466852
BHATNAGAR SANJAY,0.05370014649451506
WALTERS GARETH W,0.01884677934581138
BIBI PHILIPPE A,0.14607148511294546
SHERRIFF JOHN R,0.18262226840915938
GIBBS DANA R,0.0054453044661028184
LINDHOLM TOD A,0.07095392193497643
MCMAHON JEFFREY,0.3762849798822948
