name,poi
BELDEN TIMOTHY N,0.011333836446145423
BOWEN JR RAYMOND M,0.3630609332968093
HANNON KEVIN P,0.16440895397465033
DELAINEY DAVID W,0.00028579468943378835
CAUSEY RICHARD A,0.031836429327201404
HICKERSON GARY J,0.4079867264287989
FREVERT MARK A,0.8604383976651246
CHAN RONNIE,6.366059230240346e-05
DONAHUE JR JEFFREY M,0.0002601137378413189
REYNOLDS LAWRENCE,0.00013479396980673426
HORTON STANLEY C,0.0005606685270699572
LEWIS RICHARD,6.722681245234533e-05
SHERRICK JEFFREY B,9.183486083357981e-05
MEYER JEROME J,6.365877066171412e-05
DERRICK JR. JAMES V,0.28790764006497016
PIRO JIM,6.366059230240346e-05
DETMERING TIMOTHY J,0.00018711885539187428
KISHKILL JOSEPH G,0.016758910776563045
BAY FRANKLIN R,0.0019097170846841557
PRENTICE JAMES,7.86301330760016e-05
TOTAL,0.9955909359845673
FALLON JAMES B,0.11919568913387946
METTS MARK,0.00013102927615532247
WODRASKA JOHN,0.00019875617250220509
MORDAUNT KRISTINA M,8.827580705622364e-05
CARTER REBECCA C,8.839820954567912e-05
BHATNAGAR SANJAY,0.00020728284299796975
WALTERS GARETH W,0.00014151694027440736
BIBI PHILIPPE A,0.004438855818680493
SHERRIFF JOHN R,0.015145398371669394
GIBBS DANA R,7.14658612869141e-05
LINDHOLM TOD A,0.0008707688262263876
MCMAHON JEFFREY,0.3554917082225709
