name,poi
BELDEN TIMOTHY N,0.27956702426910385
BOWEN JR RAYMOND M,0.23234388369965167
HANNON KEVIN P,0.20479423889491116
DELAINEY DAVID W,0.1744846897051586
CAUSEY RICHARD A,0.29172455172932016
HICKERSON GARY J,0.20765396894208987
FREVERT MARK A,0.43404451063222593
CHAN RONNIE,0.013128628980547327
DONAHUE JR JEFFREY M,0.2164567845869282
REYNOLDS LAWRENCE,0.17071079909211975
HORTON STANLEY C,0.03198175805821129
LEWIS RICHARD,0.017003996183400028
SHERRICK JEFFREY B,0.02778606366148875
MEYER JEROME J,0.022269499080417796
DERRICK JR. JAMES V,0.1777258905010319
PIRO JIM,0.015934186781285862
DETMERING TIMOTHY J,0.1486176693201726
KISHKILL JOSEPH G,0.1899142747845425
BAY FRANKLIN R,0.13918889469502052
PRENTICE JAMES,0.026630979298711027
TOTAL,0.49165812979649826
FALLON JAMES B,0.27497684623935614
METTS MARK,0.20658388978614123
WODRASKA JOHN,0.03160225081618559
MORDAUNT KRISTINA M,0.1445525838151596
CARTER REBECCA C,0.0529911790726827
BHATNAGAR SANJAY,0.024014650693497452
WALTERS GARETH W,0.04527367347168945
BIBI PHILIPPE A,0.23607073747823676
SHERRIFF JOHN R,0.13511596416178584
GIBBS DANA R,0.01807954902572248
LINDHOLM TOD A,0.15675341540147283
MCMAHON JEFFREY,0.28420906646925354
