name,poi
BELDEN TIMOTHY N,0.2394172494172494
BOWEN JR RAYMOND M,0.35225
HANNON KEVIN P,0.32986111111111116
DELAINEY DAVID W,0.12
CAUSEY RICHARD A,0.4706020733652312
HICKERSON GARY J,0.3227884615384615
FREVERT MARK A,0.72
CHAN RONNIE,0.0005555555555555556
DONAHUE JR JEFFREY M,0.09018478260869564
REYNOLDS LAWRENCE,0.030526315789473683
HORTON STANLEY C,0.11043478260869566
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.03154589371980676
MEYER JEROME J,0.0005555555555555556
DERRICK JR. JAMES V,0.386268115942029
PIRO JIM,0.0005555555555555556
DETMERING TIMOTHY J,0.02
KISHKILL JOSEPH G,0.27049242424242426
BAY FRANKLIN R,0.12
PRENTICE JAMES,0.0
TOTAL,0.82
FALLON JAMES B,0.4409090909090909
METTS MARK,0.02125
WODRASKA JOHN,0.03
MORDAUNT KRISTINA M,0.01
CARTER REBECCA C,0.05
BHATNAGAR SANJAY,0.11608391608391608
WALTERS GARETH W,0.013055555555555556
BIBI PHILIPPE A,0.1847965178096757
SHERRIFF JOHN R,0.343859649122807
GIBBS DANA R,0.0
LINDHOLM TOD A,0.05916666666666666
MCMAHON JEFFREY,0.4609368686868687
